Category,Sub-Category,Suscriptores,Title,Description,Link,Date_raw,Date_parsed,Author
mundo,Más países,Más países,,"Un barco de la flotilla hacia Gaza, con Greta Thunberg a bordo, denunció haber sido atacado por un dron en Túnez.",https://www.elespectador.com/mundo/mas-paises/flotilla-con-ayuda-para-gaza-fue-impactada-por-un-dron-cerca-de-tunez/,07:41 a. m.,09-09-2025,Agencia AFP
mundo,Más países,Más países,,"El primer ministro de Nepal, Khadga Prasad Oli, renunció tras las protestas contra la prohibición de redes sociales que dejan 19...",https://www.elespectador.com/mundo/mas-paises/nepal-toma-del-parlamento-y-renuncia-del-primer-ministro-tras-mortales-protestas/,07:16 a. m.,09-09-2025,France 24
mundo,América,América,Suscriptores,"La 80ª Asamblea General de la ONU arranca en Nueva York con clima, Gaza, IA, salud mental y género como ejes de un futuro en...",https://www.elespectador.com/mundo/america/asamblea-general-de-la-onu-2025-desafios-y-prioridades-globales/,07:03 a. m.,09-09-2025,Laura Henao Arévalo
mundo,Política,Política,,"Según la Cancillería, en agosto pasado había, por lo menos, 38 colombianos detenidos en Venezuela.",https://www.elespectador.com/politica/gustavo-petro-habla-de-colombianos-detenidos-en-venezuela-hay-por-lo-menos-38-noticias-hoy/,06:52 a. m.,09-09-2025,Redacción Política
bogota,Bogotá,Bogotá,,"El ente de control confirmó, además, la existencia de 49 hallazgos fiscales por $9.289 millones en 15 Fondos de Desarrollo Local.",https://www.elespectador.com/bogota/contraloria-alerta-ineficiencia-por-baja-ejecucion-del-presupuesto-local-en-bogota/,11:28 a. m.,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,"El Espectador le cuenta cómo avanza la movilidad. Conozca el pico y placa, cómo opera Transmilenio y las novedades en las vías.",https://www.elespectador.com/bogota/movilidad-hoy-martes-9-de-septiembre-asi-esta-el-trafico-en-las-vias-de-bogota/,10:11 a. m.,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,Aproximadamente 100 personas que habían manifestado su voluntad de retornar se negaron a viajar. Distrito denunció prácticas...,https://www.elespectador.com/bogota/tension-en-retorno-embera-grupo-se-niega-a-salir-del-parque-nacional/,09:52 a. m.,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,Las autoridades ordenaron la evacuación de tres familias y se mantiene monitoreo constante en 10 viviendas con riesgos...,https://www.elespectador.com/bogota/cierres-en-la-via-al-llano-continuan-obras-de-remocion-completan-mas-de-48-horas/,08:48 a. m.,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,,Cerca de 500 personas que permanecían en el ala norte del Parque Nacional salieron la noche del lunes.,https://www.elespectador.com/bogota/retorno-embera-en-marcha-bogota-inicia-traslado-de-comunidades-a-sus-resguardos/,06:54 a. m.,09-09-2025,Redacción Bogotá
bogota,Bogotá,Bogotá,Suscriptores,"El Espectador conoció la decisión de la Procuraduría, que sancionó a un teniente de la Policía, por no auxiliar al joven. ",https://www.elespectador.com/bogota/el-silenciado-asesinato-de-cristian-hernandez-a-cinco-anos-del-9s/,09-09-2025,09-09-2025,María Angélica García Puerto
